,price,description,locations,titles,target,labelled,websites,index
0,999000.0,attention first time buyer investor rarely offered for sale huge pie shaped lot with 120ft frontage bedroom bungalow extra long car driveway clean well maintained detached brick bungalow detail ,mississauga peel region,    house for sale mississauga peel region airport thamsgate mississauga 1599539399 airport thamsgate mississauga ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/airport-rd-thamsgate-mississauga/1599539399,0
1,299000.0,ml w5460820 beautiful detached bungalow excellent feature eat kitchen separate family room large living detached double garage nicely landscaped upgraded kitchen with detail ,markham york region   ,    house for sale markham york region silverstone toronto ontario 1599536763 silverstone toronto ontario ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/markham-york-region/92-silverstone-dr-toronto-ontario/1599536763,1
2,300000.0,ml c5460605 estate sale fabulous custom built ranch bungalow exclusive timberlane cul sac backing onto park and stunning mature tree original owner since 1956 unique opportunity detail ,city toronto,    house for sale city toronto timberlane toronto ontario 1599534285 timberlane toronto ontario ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/34-timberlane-dr-toronto-ontario/1599534285,2
3,299888.0,country living town everything gorgeous 90x140 lot with custom salt water inground pool with water feature and mature landscaping very private bedroom bungalow with walk out detail ,oakville halton region,    house for sale oakville halton region inquire about this bdrm bth main maple 1599534975 inquire about this bdrm bth main maple ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/inquire-about-this-4-bdrm-2-bth-main-maple/1599534975,3
4,300000.0,estate sale fabulous custom built ranch bungalow exclusive timberlane cul sac backing onto park and stunning mature tree original owner since 1956 unique opportunity renovate detail ,city toronto,    house for sale city toronto bathurst york downs with bdrm bth 1599529064 bathurst york downs with bdrm bth ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/bathurst-york-downs-with-5-bdrm-3-bth/1599529064,4
5,999999.0,enormous beautiful it kind bungalow meticulously maintained 150 160 lot circular lit driveway edged with aggregated concrete and masterpiece waterfall towering detail ,oakville halton region,    house for sale oakville halton region mississauga bdr bth 1599527238 mississauga bdr bth ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/mississauga-on-4-bdr-4-bth/1599527238,5
6,499900.0,ml w5440815 highly desirable alderwood bungalow sits 125 lot with newer roof main flr window furnace rare opportunity for builder renovator investor detail ,mississauga peel region,    house for sale mississauga peel region 125 north carson toronto ontario 1595736642 125 north carson toronto ontario ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/125-north-carson-st-toronto-ontario/1595736642,6
7,699000.0,private home for sale with double garage and large lot x120 mississauga bedroom bungalow plus one bedroom separate entrance italian style home ceramic hardwood floor airport derry detail ,mississauga peel region,    house for sale mississauga peel region private sale detached home dbl gar mississauga 1599500050 private sale detached home dbl gar mississauga ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/private-sale-detached-home-w-t-dbl-gar-in-mississauga/1599500050,7
8,299888.0,ml w5460307 country living town everything gorgeous 90x140 lot with custom salt water inground pool with water feature and mature landscaping very private bedroom bungalow detail ,oakville halton region,    house for sale oakville halton region market halton hills ontario 1599461520 market halton hills ontario ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/11-market-st-halton-hills-ontario/1599461520,8
9,599990.0,ml w5459791 monster lot 147 great opportunity for all buyer investor view this wonderfully built potential bungalow house with bedroom full washroom and inground pool detail ,oakville halton region,    house for sale oakville halton region 376 third line oakville ontario 1599458168 376 third line oakville ontario ,bungalow,2,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/376-third-line-oakville-ontario/1599458168,9
