,price,description,locations,titles,target,labelled,websites,index
0,630000.0,working with the experienced assignment expert buy and sell condo assignment tanu condo park mississauga port credit mississauga detail ,city toronto,       condo for sale city toronto tanu 158 front lawrence panda condo assignment 1128879156 tanu 158 front lawrence panda condo assignment 楼花转让  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/tanu-158-front-st-lawrence-panda-condo-assignment/1128879156,0
1,895000.0,georgetown condo free parking locker free assignment starting from 895k 1040 sqft 2350 sqft unit all unit come with either balcony terrace private rooftop terrace call now book detail ,mississauga peel region,       condo for sale mississauga peel region georgetown condos free parking locker free assignment 1599575487 georgetown condos free parking locker free assignment  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/georgetown-condos-free-parking-locker-free-assignment/1599575487,1
2,488555.0,north open concept unit with balcony east facing city view step away from michael hospital eaton centre queen dundas subway ryerson university min away from everything you need detail ,city toronto,       condo for sale city toronto price changed bedrm bth mutual shuter 1599571824 price changed bedrm bth mutual shuter  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/price-changed-bedrm-1-bth-mutual-shuter-st/1599571824,2
3,699000.0,wow luxurious and elegant bedroom condo with many upgrade this executive home with breathtaking panoramic view lavished with open concept living dining modern kitchen with appliance detail ,mississauga peel region,       condo for sale mississauga peel region price changed bdrm bth mississauga 1599568401 price changed bdrm bth mississauga  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/price-changed-bdrm-2-bth-in-mississauga/1599568401,3
4,754900.0,just listed 461 adelaide 731 bright well laid out loft the heart king west feature exposed concrete ceiling engineered hardwood throughout stylish modern kitchen and euro styled detail ,city toronto,       condo for sale city toronto great bdrm loft heart king west 1595801586 great bdrm loft heart king west  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/great-1-bdrm-loft-in-heart-of-king-west/1595801586,4
5,599000.0,contact 416 317 1830 for detail assignment condo express condo tippet road north york bed den bath condo assignment 599000 sorry not cooperate with realtor buyer already working detail ,city toronto,       condo for sale city toronto condo assignment for sale express condo allen 401 1599563723 condo assignment for sale express condo allen 401  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-express-condo-allen-rd-401/1599563723,5
6,889000.0,contact 416 317 1830 for detail assignment ayc condo yorkville 181 bedford road toronto m5r 3p8 unit bed bath condo assignment with parking and locker included 889000 floor unit detail ,city toronto,       condo for sale city toronto condo assignment for sale ayc condosyorkville bed parking 1599562740 condo assignment for sale ayc condosyorkville bed parking  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-ayc-condosyorkville-2-bed-wt-parking/1599562740,6
7,249000.0,contact 416 317 1830 for detail assignment aqualuna condo 263 queen quay east toronto unit bed bath 1465sqft condo assignment with parking and locker 119 000 unit bed detail ,city toronto,       condo for sale city toronto condo assignment for sale aqualuna condos tridel 1599562228 condo assignment for sale aqualuna condos tridel  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-aqualuna-condos-by-tridel/1599562228,7
8,589000.0,contact 416 317 1830 for detail assignment condo 100 eagle rock way maple unit bed bath size 610 floor plan south floor 2nd with locker and parking detail ,markham york region   ,       condo for sale markham york region condo assignment for sale condos 100 eagle rock way maple 1599561767 condo assignment for sale condos 100 eagle rock way maple  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/markham-york-region/condo-assignment-for-sale-go-2-condos-100-eagle-rock-way-maple/1599561767,8
9,549000.0,contact 416 317 1830 for detail assignment cypress condo thomas riley road unit 1bed den bath size 576 floor plan view north floor with locker and parking condo detail ,mississauga peel region,       condo for sale mississauga peel region condo assignment for sale cypress condo 1599560966 condo assignment for sale cypress condo  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/mississauga-peel-region/condo-assignment-for-sale-cypress-condo/1599560966,9
10,525000.0,contact 416 317 1830 for detail assignment condo transit city 175 millway ave concord unit bed bath transit city 525000 floor clear south view unit bed den bath transit detail ,markham york region   ,       condo for sale markham york region condo assignment for sale transit city 1599560353 condo assignment for sale transit city  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/markham-york-region/condo-assignment-for-sale-transit-city-4/1599560353,10
11,859000.0,assignment mirabella residence lakeshore parklawn 1926 lakeshore blvd unit bed den bath condo assignment with parking and locker 859000 floor unit bed den bath condo assignment detail ,city toronto,       condo for sale city toronto condo assignment for sale mirabella residence lake city view 1599559489 condo assignment for sale mirabella residence lake city view  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/condo-assignment-for-sale-mirabella-residence-wt-lake-city-view/1599559489,11
12,139000.0,turnkey business perfect for family entrepreneur in market busy high traffic area king shaw surrounded high density commercial residential condo weekly sale approximately detail ,city toronto,       commercial office space for sale city toronto king shaw convenient store business for sale 1584124629 king shaw convenient store business for sale  ,condo,1,https:/www.kijiji.ca/v-commercial-office-space-for-sale/city-of-toronto/king-shaw-convenient-store-business-for-sale/1584124629,12
13,689900.0,spacious bdrms luxurious tridel condo show like model home extra large den could used 3rd bedroom step scarborough town centrettc easy access hwy401 subway centennial detail ,city toronto,       condo for sale city toronto toronto mccowan 401 bdrm bth 1599559085 toronto mccowan 401 bdrm bth  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/toronto-mccowan-401-3-bdrm-2-bth/1599559085,13
14,555000.0,for more information price floorplans and free investment analysis consultation 252 church 252 church detail ,city toronto,       condo for sale city toronto reliable builder income producing incredible investment 1599556681 reliable builder income producing incredible investment  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/reliable-builder-income-producing-incredible-investment/1599556681,14
15,490000.0,for more information price floorplans and free investment analysis consultation xo2 condo 1182 king detail ,city toronto,       condo for sale city toronto condos coming soon king west liberty village 1599555149 condos coming soon king west liberty village  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/xo-2-condos-coming-soon-king-west-liberty-village/1599555149,15
16,624900.0,coveted den unit 900 sqft the sold out minto oakvillage phase trafalgar not miss out this investment opportunity large den can easily converted into 2nd bedroom 9th detail ,oakville halton region,       condo for sale oakville halton region oakville assignment minto oakvillage den rare condo unit 1591132510 oakville assignment minto oakvillage den rare condo unit  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/oakville-halton-region/oakville-assignment-minto-oakvillage-1-den-rare-condo-unit/1591132510,16
17,559000.0,one toronto most coveted neighbourhood step shop restaurant bright one bedroom suite with functional layout integrated kitchen appliance detail ,city toronto,       condo for sale city toronto bedrm bth yonge eglinton 1599549256 bedrm bth yonge eglinton  ,condo,1,https:/www.kijiji.ca/v-condo-for-sale/city-of-toronto/1-bedrm-1-bth-yonge-eglinton/1599549256,17
