,price,description,locations,titles,target,labelled,websites,index
0,700.0,available immediatly 15th december room for couple for 1000 700 for single person room private house first floor mater wash room exclusive inside the room not the basement room detail ,mississauga peel region,    room rental roommate mississauga peel region private room with attached washroom for couple and female 1480410967 private room with attached washroom for couple and female ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/private-room-with-attached-washroom-for-couple-and-female/1480410967,0
1,899900.0,stunning must see home popular strawberry field located across from ravine family friendly street home feature 1630sqft stone brick exterior 9ft ceiling main floor washer dryer detail ,mississauga peel region,    house for sale mississauga peel region mayfield kennedy new bdr bth 1599572476 mayfield kennedy new bdr bth ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/mayfield-rd-kennedy-rd-on-new-bdr-3-bth/1599572476,1
2,675.0,big bedroom upper house available for rent mount pleasant station brampton detail ,mississauga peel region,    room rental roommate mississauga peel region huge room new neat clean peaceful new house available 1599572295 huge room new neat clean peaceful new house available ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/a-huge-room-in-a-new-neat-clean-peaceful-new-house-is-available/1599572295,2
3,840000.0,brampton new stack townhome 1300sf storey with 2bed 5bath corner unit creditview bovaird potl fee 169 monthly buyer only not contact you are realtor coop please detail ,mississauga peel region,    house for sale mississauga peel region brampton stack towns assignment sale 2bed 5bath 1300sf 1599571869 brampton stack towns assignment sale 2bed 5bath 1300sf ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/brampton-stack-towns-assignment-sale-2bed-2-5bath-1300sf/1599571869,3
4,700.0,near finch station 125 ttc near the house detail ,city toronto,    room rental roommate city toronto single room for rental 1599571621 single room for rental ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/single-room-for-rental/1599571621,4
5,700.0,private room available spacious house looking for working professional who can stay atleast month only for girl detail ,mississauga peel region,    room rental roommate mississauga peel region private room for rent 1599570500 private room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/private-room-for-rent/1599570500,5
6,700.0,available immediatly 15th december room for couple for 1000 700 for single person room private house first floor mater wash room exclusive inside the room not the basement room detail ,mississauga peel region,    room rental roommate mississauga peel region private room with attached washroom for couple and female 1480410967 private room with attached washroom for couple and female ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/private-room-with-attached-washroom-for-couple-and-female/1480410967,6
7,850.0,• indian family renting out furnished bedroom with separate attached wash detached house working girl woman only • located erin centre blvd tenth line available immediately detail ,mississauga peel region,    room rental roommate mississauga peel region furnished room detach home tenthlinew eglingtonave 1599570004 furnished room detach home @ tenthlinew eglingtonave ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/furnished-room-in-detach-home-tenthlinew-eglingtonave-w/1599570004,7
8,750.0,spacious upper room available beautiful house located queen and chinguacoucy close all major amenity such shopper sobeys walking distance bus station and major bank looking detail ,mississauga peel region,    room rental roommate mississauga peel region upper room available for rent immediately 1599569514 upper room available for rent immediately ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/upper-room-available-for-rent-immediately/1599569514,8
9,450.0,brampton upstair sharing bedroom available for rent big beautiful house female only environment address mountainash for reference big plaza and bus stop are front the detail ,mississauga peel region,    room rental roommate mississauga peel region rooms for girls best airport bovaird 1599569507 rooms for girls best airport bovaird ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/rooms-for-girls-best-location-airport-rd-bovaird/1599569507,9
10,250000.0,address caledon 3600 sqft bed bath car garage ’ ceiling 000 free upgraded standard feature unfinished basement with potential rental apartment lot size 105 down payment detail ,mississauga peel region,    house for sale mississauga peel region assignment sale caledon closing 2022 summer 1599569484 assignment sale caledon closing 2022 summer ,house,0,https:/www.kijiji.ca/v-house-for-sale/mississauga-peel-region/assignment-sale-in-caledon-closing-2022-summer/1599569484,10
11,700.0,upper beach – available january 1st furnished room for female student young working female great house utility and wireless high speed included gourmet kitchen landscaped back yard detail ,city toronto,    room rental roommate city toronto upper beach room great house 1596060684 upper beach room great house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/upper-beach-room-in-great-house/1596060684,11
12,633000.0,great investment opportunity this property contains storey triplex total separate self contained two bedroom bathroom apartment bedroom bathroom apartment ground level detail ,city toronto,    house for sale city toronto rental property for sale downtown toronto 1599567830 rental property for sale downtown toronto ,house,0,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/rental-property-for-sale-in-downtown-toronto/1599567830,12
13,800.0,single room available detached house single room basement single room the second floor single room the first floor are available shared kitchen two person share one bathroom one detail ,city toronto,    room rental roommate city toronto sheppard victoria park single room for rent 1599567406 sheppard victoria park single room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/sheppard-victoria-park-single-room-for-rent/1599567406,13
14,500.0,bedroom house for rent including parking all appliance looking for student 500 room 2400 for whole town house starting january 15th 2022 detail ,oshawa durham region,    room rental roommate oshawa durham region oshawa house for rent 1599566860 oshawa house for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/oshawa-durham-region/oshawa-house-for-rent/1599566860,14
15,200.0,• house for rent bathurst rutherford carville • available february • spacious living area • family room walk out deck • bedroom • washroom • hard wood floor • complete kitchen detail ,markham york region   ,    short term rental markham york region bedroom home for rent richmond hill 1599566531 bedroom home for rent richmond hill ,house,0,https:/www.kijiji.ca/v-short-term-rental/markham-york-region/3-bedroom-home-for-rent-in-richmond-hill/1599566531,15
16,750.0,tel 647 955 6670 room for rent for single working person house available immideatly ellesmere kennedy note you don’ know cooking then will provide tiffin separate price this detail ,city toronto,    room rental roommate city toronto room for rent 1st floor kennedy ellesmere 1599566161 room for rent 1st floor kennedy ellesmere ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/room-for-rent-on-1st-floor-at-kennedy-ellesmere/1599566161,16
17,700.0,upper beach – available january 1st furnished room for female student young working female great house utility and wireless high speed included gourmet kitchen landscaped back yard detail ,city toronto,    room rental roommate city toronto upper beach room great house 1596060684 upper beach room great house ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/upper-beach-room-in-great-house/1596060684,17
18,500.0,one bedroom available for rent upper floor for female one girl only minimum year lease with kitchen rent 500 with utility available from 1st january 2022 the house detail ,mississauga peel region,    room rental roommate mississauga peel region room for rent 1599565070 room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/room-for-rent/1599565070,18
19,499.0,professional engineer easygoing kind and caring person very nice furnished clean cozy and comfortable room the first floor detached house quiet street immaculate detail ,city toronto,    room rental roommate city toronto one beautiful room for rent 1599565336 one beautiful room for rent ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/city-of-toronto/one-beautiful-room-for-rent/1599565336,19
20,789000.0,expected occupancy september 2022 unit 789 900 bed and bath interior 141 terrace 338 balcony unit 879 900 bed and bath interior 191 detail ,city toronto,    house for sale city toronto urban townhomes clair and midland only units remaining 1599564985 urban townhomes clair and midland only units remaining ,house,0,https:/www.kijiji.ca/v-house-for-sale/city-of-toronto/urban-townhomes-st-clair-and-midland-only-3-units-remaining/1599564985,20
21,400.0,minute walk bramalea city centre and bus station freshco grocery library upstairs shared room girl only house big window lot space shared living and large kitchen includes detail ,mississauga peel region,    room rental roommate mississauga peel region shared room looking for girl walk bramalea city centre 1599564958 shared room looking for girl walk bramalea city centre ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/shared-room-looking-for-1-girl-walk-to-bramalea-city-centre/1599564958,21
22,450.0,brampton upstair sharing bedroom available for rent big house female only environment bovaird and airport road area big plaza and bus stop are front the house crime free and very detail ,mississauga peel region,    room rental roommate mississauga peel region upper level room for girls prime airport bovaird 1599564914 upper level room for girls prime airport bovaird ,house,0,https:/www.kijiji.ca/v-room-rental-roommate/mississauga-peel-region/upper-level-room-for-girls-prime-location-airport-rd-bovaird/1599564914,22
23,99000.0,unit are bedroom plus den and bath they both have terrace the ground floor balcony the 2nd floor and terrace the top floor garage are the basement this project will detail ,oakville halton region,    house for sale oakville halton region georgetown traditional townhomes only units left 1599564826 georgetown traditional townhomes only units left ,house,0,https:/www.kijiji.ca/v-house-for-sale/oakville-halton-region/georgetown-traditional-townhomes-only-2-units-left/1599564826,23
